chr	start	end	replication_time	expression_CCLE	noncoding_mutation_rate
3	71900001	72000000	605	450	2.66E-06
3	72000001	72100000	626	27094	3.31E-06
3	72100001	72200000	646	34296	2.74E-06
3	72200001	72300000	642	6559	2.66E-06
3	72300001	72400000	625	1203	2.42E-06
3	72400001	72500000	607	455148	1.65E-06
3	72500001	72600000	522	4381	2.54E-06
3	72600001	72700000	549	7041	1.45E-06
3	72700001	72800000	528	131481	2.84E-06
3	72800001	72900000	510	246925	1.48E-06
3	72900001	73000000	457	135066	2.39E-06
3	73000001	73100000	420	231832	1.91E-06
3	73100001	73200000	483	552407	1.96E-06
3	73200001	73300000	617	4012	4.36E-06
3	73300001	73400000	705	1142	4.63E-06
3	73400001	73500000	779	70231	4.06E-06
3	73500001	73600000	832	25863	2.78E-06
3	73600001	73700000	888	26614	4.02E-06
3	73700001	73800000	935	60	4.03E-06
3	73800001	73900000	969	2336	3.90E-06
3	73900001	74000000	984	8091	5.44E-06
3	74000001	74100000	1001	5402	5.43E-06
3	74100001	74200000	1010	6185	4.41E-06
3	74200001	74300000	NaN	160	4.99E-06
3	74300001	74400000	NaN	17874	4.82E-06
3	74400001	74500000	949	6268	3.94E-06
3	74500001	74600000	NaN	4140	5.02E-06
3	74600001	74700000	1055	4905	6.07E-06
3	74700001	74800000	1096	1379	5.21E-06
3	74800001	74900000	NaN	2826	5.76E-06
3	74900001	75000000	1091	11602	6.33E-06
3	75000001	75100000	NaN	2231	5.69E-06
3	75100001	75200000	1134	6295	4.23E-06
3	75200001	75300000	1092	1525416	5.19E-06
3	75300001	75400000	1173	4138	5.99E-06
3	75400001	75500000	1171	300812	5.49E-06
3	75500001	75600000	1129	51318	6.63E-06
3	75600001	75700000	1190	17090	2.02E-05
3	75700001	75800000	1173	123324	1.52E-05
3	75800001	75900000	1241	29964	1.87E-05
3	75900001	76000000	1281	2473	1.04E-05
3	76000001	76100000	1335	4834	7.44E-06
3	76100001	76200000	NaN	6509	5.96E-06
3	76200001	76300000	1283	6060	4.29E-06
3	76300001	76400000	NaN	30863	2.31E-06
3	76400001	76500000	1281	198711	6.53E-06
3	76500001	76600000	NaN	29073	6.09E-06
3	76600001	76700000	NaN	24867	4.75E-06
3	76700001	76800000	NaN	20126	5.89E-06
3	76800001	76900000	1264	25232	4.48E-06
3	76900001	77000000	1270	16058	4.67E-06
3	77000001	77100000	1247	19130	3.63E-06
3	77100001	77200000	1224	30364	5.60E-06
3	77200001	77300000	1213	24891	4.35E-06
3	77300001	77400000	1172	18721	7.02E-06
3	77400001	77500000	1146	16717	4.54E-06
3	77500001	77600000	969	19018	4.26E-06
3	77600001	77700000	962	96630	4.09E-06
3	77700001	77800000	1065	357	4.60E-06
3	77800001	77900000	1033	960	4.46E-06
3	77900001	78000000	1054	170	4.09E-06
3	78000001	78100000	1036	113	4.62E-06
3	78100001	78200000	961	278	5.13E-06
3	78200001	78300000	945	357	4.30E-06
3	78300001	78400000	952	4164	5.51E-06
3	78400001	78500000	890	645	5.85E-06
3	78500001	78600000	805	307	4.80E-06
3	78600001	78700000	741	409166	3.79E-06
3	78700001	78800000	705	248219	2.94E-06
3	78800001	78900000	686	70279	3.48E-06
3	78900001	79000000	515	94512	3.94E-06
3	79000001	79100000	415	108152	3.30E-06
3	79100001	79200000	339	7186	4.53E-06
3	79200001	79300000	415	2358	5.31E-06
3	79300001	79400000	521	1352	5.08E-06
3	79400001	79500000	674	2335	4.10E-06
3	79500001	79600000	790	4012	5.14E-06
3	79600001	79700000	773	1424	6.25E-06
3	79700001	79800000	755	1827	6.28E-06
3	79800001	79900000	683	2717	5.96E-06
3	79900001	80000000	619	2093	6.79E-06
3	80000001	80100000	596	6317	4.55E-06
3	80100001	80200000	617	2933	6.15E-06
3	80200001	80300000	711	1083	8.00E-06
3	80300001	80400000	755	922	8.18E-06
3	80400001	80500000	895	452	6.62E-06
3	80500001	80600000	889	6351	7.24E-06
3	80600001	80700000	944	20495	6.30E-06
3	80700001	80800000	962	12724	5.45E-06
3	80800001	80900000	980	24257	7.09E-06
3	80900001	81000000	1035	5644	7.03E-06
3	81000001	81100000	1035	1302	8.04E-06
3	81100001	81200000	1001	1320	6.78E-06
3	81200001	81300000	950	2257	4.09E-06
3	81300001	81400000	972	2087	3.54E-06
3	81400001	81500000	899	1642	4.41E-06
3	81500001	81600000	796	319777	3.16E-06
3	81600001	81700000	720	227948	2.56E-06
3	81700001	81800000	711	90265	2.25E-06
3	81800001	81900000	541	46627	3.79E-06
3	81900001	82000000	507	1107	4.68E-06
3	82000001	82100000	613	2930	5.05E-06
3	82100001	82200000	758	1805	4.93E-06
3	82200001	82300000	887	3133	5.25E-06
3	82300001	82400000	925	4746	6.54E-06
3	82400001	82500000	941	2450	6.24E-06
3	82500001	82600000	923	139	5.42E-06
3	82600001	82700000	940	245	6.55E-06
3	82700001	82800000	990	108	6.37E-06
3	82800001	82900000	993	137059	6.34E-06
3	82900001	83000000	1016	66	5.62E-06
3	83000001	83100000	1025	2084	6.84E-06
3	83100001	83200000	1057	1620	7.33E-06
3	83200001	83300000	1099	6051	7.21E-06
3	83300001	83400000	1114	7782	7.25E-06
3	83400001	83500000	1123	2845	7.48E-06
3	83500001	83600000	962	730	7.65E-06
3	83600001	83700000	1181	230	8.31E-06
3	83700001	83800000	1199	88	7.73E-06
3	83800001	83900000	1226	692	6.95E-06
3	83900001	84000000	1232	2957	7.06E-06
3	84000001	84100000	1235	12318	7.91E-06
3	84100001	84200000	1263	7865	7.26E-06
3	84200001	84300000	1302	5886	8.68E-06
3	84300001	84400000	1273	2412	8.17E-06
3	84400001	84500000	1298	6716	7.37E-06
3	84500001	84600000	1289	861	1.02E-05
3	84600001	84700000	1253	2043	7.08E-06
3	84700001	84800000	1255	866	9.10E-06
3	84800001	84900000	1221	200	8.95E-06
3	84900001	85000000	1195	604	6.63E-06
3	85000001	85100000	1174	29206	5.93E-06
3	85100001	85200000	1142	11868	5.91E-06
3	85200001	85300000	1155	7905	5.26E-06
3	85300001	85400000	1135	12500	4.96E-06
3	85400001	85500000	NaN	7843	4.64E-06
3	85500001	85600000	1091	14736	5.54E-06
3	85600001	85700000	1095	8554	5.50E-06
3	85700001	85800000	1075	14133	7.33E-06
3	85800001	85900000	1055	5898	6.66E-06
3	85900001	86000000	1023	3624	6.51E-06
3	86000001	86100000	954	8911	7.57E-06
3	86100001	86200000	969	12030	6.74E-06
3	86200001	86300000	972	454	7.79E-06
3	86300001	86400000	931	364	7.41E-06
3	86400001	86500000	931	444	8.87E-06
3	86500001	86600000	849	620	8.44E-06
3	86600001	86700000	734	1756	7.25E-06
3	86700001	86800000	565	532	8.38E-06
3	86800001	86900000	498	522	7.11E-06
3	86900001	87000000	393	131031	6.50E-06
3	87000001	87100000	332	34772	4.89E-06
3	87100001	87200000	282	57658	4.61E-06
3	87200001	87300000	368	202860	4.12E-06
3	87300001	87400000	415	294096	3.97E-06
3	87400001	87500000	470	1145	4.50E-06
3	87500001	87600000	568	327	6.00E-06
3	87600001	87700000	648	1843	4.80E-06
3	87700001	87800000	780	4479	6.49E-06
3	87800001	87900000	887	8454	6.46E-06
3	87900001	88000000	898	26922	4.29E-06
3	88000001	88100000	898	14258	3.54E-06
3	88100001	88200000	757	1218597	1.94E-06
3	88200001	88300000	894	249245	3.90E-06
3	88300001	88400000	933	67889	5.35E-06
3	88400001	88500000	1018	436	5.36E-06
3	88500001	88600000	1044	4262	6.57E-06
3	88600001	88700000	1061	1252	7.16E-06
3	88700001	88800000	1072	4090	6.94E-06
3	88800001	88900000	1065	6737	6.78E-06
3	88900001	89000000	1118	6862	7.49E-06
3	89000001	89100000	1155	5114	6.15E-06
3	89100001	89200000	1140	28626	5.58E-06
3	89200001	89300000	NaN	45743	5.63E-06
3	89300001	89400000	NaN	39281	5.65E-06
3	89400001	89500000	NaN	96048	6.99E-06
3	89500001	89600000	NaN	114970	6.43E-06
3	89600001	89700000	1174	191	6.78E-06
3	89700001	89800000	1195	480	4.74E-06
3	89800001	89900000	1221	1343	7.13E-06
3	89900001	90000000	1255	1000	7.57E-06
3	90000001	90100000	1201	9114	6.65E-06
3	90100001	90200000	1262	20643	5.44E-06
3	90200001	90300000	1285	4115	7.53E-06
3	90300001	90400000	1311	470	1.24E-05
3	90400001	90500000	1272	206	1.29E-05
3	90500001	90600000	1293	5	7.06E-06
3	90600001	90700000	NaN	0	NaN
3	90700001	90800000	NaN	0	NaN
3	90800001	90900000	NaN	0	NaN
3	90900001	91000000	NaN	0	NaN
3	91000001	91100000	NaN	0	NaN
3	91100001	91200000	NaN	0	NaN
3	91200001	91300000	NaN	0	NaN
3	91300001	91400000	NaN	0	NaN
3	91400001	91500000	NaN	0	NaN
3	91500001	91600000	NaN	0	NaN
3	91600001	91700000	NaN	0	NaN
3	91700001	91800000	NaN	0	NaN
3	91800001	91900000	NaN	0	NaN
3	91900001	92000000	NaN	0	NaN
3	92000001	92100000	NaN	0	NaN
3	92100001	92200000	NaN	0	NaN
3	92200001	92300000	NaN	0	NaN
3	92300001	92400000	NaN	0	NaN
3	92400001	92500000	NaN	0	NaN
3	92500001	92600000	NaN	0	NaN
3	92600001	92700000	NaN	0	NaN
3	92700001	92800000	NaN	0	NaN
3	92800001	92900000	NaN	0	NaN
3	92900001	93000000	NaN	0	NaN
3	93000001	93100000	NaN	0	NaN
3	93100001	93200000	NaN	0	NaN
3	93200001	93300000	NaN	0	NaN
3	93300001	93400000	NaN	0	NaN
3	93400001	93500000	NaN	0	NaN
3	93500001	93600000	NaN	124950	9.08E-06
3	93600001	93700000	1341	210298	6.51E-06
3	93700001	93800000	1310	414751	3.03E-06
3	93800001	93900000	1378	200214	4.52E-06
3	93900001	94000000	1347	825	5.39E-06
3	94000001	94100000	1397	287	7.12E-06
3	94100001	94200000	1457	308	8.56E-06
3	94200001	94300000	1469	158916	7.21E-06
3	94300001	94400000	1475	1329	6.15E-06
3	94400001	94500000	1492	1279	6.98E-06
3	94500001	94600000	1503	581	9.64E-06
3	94600001	94700000	1473	81725	6.30E-06
3	94700001	94800000	1436	1408	7.40E-06
3	94800001	94900000	1438	3804	7.65E-06
3	94900001	95000000	1425	1293	7.59E-06
3	95000001	95100000	1378	2095	9.20E-06
3	95100001	95200000	1371	410	9.33E-06
3	95200001	95300000	1299	186	9.28E-06
3	95300001	95400000	1324	12779	1.02E-05
3	95400001	95500000	1284	3280	1.02E-05
3	95500001	95600000	1209	568	9.81E-06
3	95600001	95700000	1277	137	9.53E-06
3	95700001	95800000	1234	8901	1.03E-05
3	95800001	95900000	1218	3424	9.89E-06
3	95900001	96000000	1221	3771	9.75E-06
3	96000001	96100000	1215	1162849	1.16E-05
3	96100001	96200000	1179	136	9.55E-06
3	96200001	96300000	1147	139	1.08E-05
3	96300001	96400000	1081	10133	9.98E-06
3	96400001	96500000	1091	9011	9.39E-06
3	96500001	96600000	1054	10582	7.04E-06
3	96600001	96700000	1044	9935	8.13E-06
3	96700001	96800000	1046	39305	8.21E-06
3	96800001	96900000	1045	19311	7.11E-06
3	96900001	97000000	907	16593	7.22E-06
3	97000001	97100000	977	4359	6.92E-06
3	97100001	97200000	973	4889	8.27E-06
3	97200001	97300000	955	2270	7.40E-06
3	97300001	97400000	917	3421	6.29E-06
3	97400001	97500000	841	33246	4.13E-06
3	97500001	97600000	731	342139	2.09E-06
3	97600001	97700000	723	685845	2.03E-06
3	97700001	97800000	606	1010	4.22E-06
3	97800001	97900000	702	334	8.34E-06
3	97900001	98000000	811	31075	5.56E-06
3	98000001	98100000	849	18179	4.83E-06
3	98100001	98200000	885	14148	5.80E-06
3	98200001	98300000	796	920530	2.62E-06
3	98300001	98400000	640	409581	3.65E-06
3	98400001	98500000	597	138246	3.24E-06
3	98500001	98600000	516	2491741	3.62E-06
3	98600001	98700000	411	308385	4.53E-06
3	98700001	98800000	356	54484	6.41E-06
3	98800001	98900000	444	3354	6.07E-06
3	98900001	99000000	494	5658	6.05E-06
3	99000001	99100000	477	1103	7.06E-06
3	99100001	99200000	458	1460	5.75E-06
3	99200001	99300000	479	3224	4.79E-06
3	99300001	99400000	395	18487	4.55E-06
3	99400001	99500000	392	34393	5.06E-06
3	99500001	99600000	419	390830	2.36E-06
3	99600001	99700000	483	114601	2.24E-06
3	99700001	99800000	573	94709	2.29E-06
3	99800001	99900000	451	384694	3.11E-06
3	99900001	100000000	372	72660	2.35E-06
3	100000001	100100000	265	1825183	1.82E-06
3	100100001	100200000	361	456287	2.70E-06
3	100200001	100300000	410	79358	3.47E-06
3	100300001	100400000	411	11174	3.80E-06
3	100400001	100500000	509	1351560	3.34E-06
3	100500001	100600000	477	88018	3.47E-06
3	100600001	100700000	487	21250	3.30E-06
3	100700001	100800000	548	6191	3.16E-06
3	100800001	100900000	525	763	3.41E-06
3	100900001	101000000	589	7124	2.95E-06
3	101000001	101100000	580	188771	2.30E-06
3	101100001	101200000	622	332654	3.17E-06
3	101200001	101300000	614	3426794	2.62E-06
3	101300001	101400000	445	1475444	1.83E-06
3	101400001	101500000	419	846775	4.01E-06
3	101500001	101600000	421	775483	2.09E-06
3	101600001	101700000	416	16693	2.41E-06
3	101700001	101800000	428	30318	2.24E-06
3	101800001	101900000	438	18301	2.78E-06
3	101900001	102000000	433	2949	2.92E-06
3	102000001	102100000	537	1561	4.99E-06
3	102100001	102200000	598	28077	4.92E-06
3	102200001	102300000	621	2756	3.87E-06
3	102300001	102400000	671	2331	6.68E-06
3	102400001	102500000	852	3392	6.86E-06
3	102500001	102600000	909	391	7.78E-06
3	102600001	102700000	940	979	7.52E-06
3	102700001	102800000	934	1834	7.47E-06
3	102800001	102900000	977	1009	6.53E-06
3	102900001	103000000	975	1699	8.88E-06
3	103000001	103100000	1005	50	7.76E-06
3	103100001	103200000	1048	227	8.68E-06
3	103200001	103300000	1065	253	8.58E-06
3	103300001	103400000	1044	99	9.48E-06
3	103400001	103500000	1115	96	9.19E-06
3	103500001	103600000	1127	343	9.18E-06
3	103600001	103700000	1155	1873	7.26E-06
3	103700001	103800000	1152	1216	9.54E-06
3	103800001	103900000	1116	399	9.18E-06
3	103900001	104000000	1136	38067	6.87E-06
3	104000001	104100000	1123	179390	7.90E-06
3	104100001	104200000	1085	96498	7.72E-06
3	104200001	104300000	1037	20866	5.75E-06
3	104300001	104400000	1038	14850	6.14E-06
3	104400001	104500000	985	4545	5.51E-06
3	104500001	104600000	999	8865	6.54E-06
3	104600001	104700000	983	2084	5.43E-06
3	104700001	104800000	946	1040	4.80E-06
3	104800001	104900000	896	1772	5.75E-06
3	104900001	105000000	822	3191	4.61E-06
3	105000001	105100000	768	216582	3.22E-06
3	105100001	105200000	784	140190	3.84E-06
3	105200001	105300000	689	1328026	2.39E-06
3	105300001	105400000	608	173504	2.98E-06
3	105400001	105500000	609	171517	2.96E-06
3	105500001	105600000	628	89738	2.25E-06
3	105600001	105700000	513	4562	2.53E-06
3	105700001	105800000	506	8023	2.62E-06
3	105800001	105900000	535	3514	3.56E-06
3	105900001	106000000	594	53754	3.40E-06
3	106000001	106100000	613	7377	4.16E-06
3	106100001	106200000	623	26936	4.22E-06
3	106200001	106300000	639	7243	4.61E-06
3	106300001	106400000	722	7413	4.52E-06
3	106400001	106500000	704	21109	5.51E-06
3	106500001	106600000	747	16702	5.32E-06
3	106600001	106700000	843	4597	5.20E-06
3	106700001	106800000	738	1940	5.44E-06
3	106800001	106900000	671	52178	5.32E-06
3	106900001	107000000	625	85278	3.10E-06
3	107000001	107100000	519	7730	3.79E-06
3	107100001	107200000	575	6118	3.06E-06
3	107200001	107300000	570	85032	2.57E-06
3	107300001	107400000	614	58271	2.29E-06
3	107400001	107500000	699	320567	2.18E-06
3	107500001	107600000	589	613424	2.61E-06
3	107600001	107700000	586	40873	3.01E-06
3	107700001	107800000	631	1131846	3.02E-06
3	107800001	107900000	650	294723	1.95E-06
3	107900001	108000000	711	212807	2.58E-06
3	108000001	108100000	826	31724	3.53E-06
3	108100001	108200000	859	40179	2.91E-06
3	108200001	108300000	874	556635	2.94E-06
3	108300001	108400000	867	295931	2.88E-06
3	108400001	108500000	941	123763	4.12E-06
3	108500001	108600000	937	1632	5.93E-06
3	108600001	108700000	961	1656	6.55E-06
3	108700001	108800000	971	1960	6.90E-06
3	108800001	108900000	1029	42046	6.95E-06
3	108900001	109000000	1076	60281	7.37E-06
3	109000001	109100000	1090	20501	7.36E-06
3	109100001	109200000	1096	2004	1.02E-05
3	109200001	109300000	1126	1158	9.55E-06
3	109300001	109400000	1115	3987	8.82E-06
3	109400001	109500000	1121	3324	9.49E-06
3	109500001	109600000	1155	4333	7.92E-06
3	109600001	109700000	1163	26696	6.82E-06
3	109700001	109800000	1124	5558	6.34E-06
3	109800001	109900000	1093	7040	7.46E-06
3	109900001	110000000	1106	8800	5.82E-06
3	110000001	110100000	1088	2165	5.57E-06
3	110100001	110200000	1048	2119	4.65E-06
3	110200001	110300000	1038	20634	5.25E-06
3	110300001	110400000	996	33985	6.11E-06
3	110400001	110500000	1000	21726	5.31E-06
3	110500001	110600000	982	15323	5.11E-06
3	110600001	110700000	942	40045	5.23E-06
3	110700001	110800000	951	43239	4.11E-06
3	110800001	110900000	878	244757	3.27E-06
3	110900001	111000000	904	306557	3.65E-06
3	111000001	111100000	752	12857	4.03E-06
3	111100001	111200000	684	27069	4.42E-06
3	111200001	111300000	542	34630	3.57E-06
3	111300001	111400000	406	161468	2.89E-06
3	111400001	111500000	322	137547	1.90E-06
3	111500001	111600000	152	56207	1.97E-06
3	111600001	111700000	160	687185	2.83E-06
3	111700001	111800000	250	375902	2.44E-06
3	111800001	111900000	336	265605	2.00E-06
3	111900001	112000000	440	93396	3.62E-06
3	112000001	112100000	508	99266	2.45E-06
3	112100001	112200000	621	68881	4.35E-06
3	112200001	112300000	636	780167	1.74E-06
3	112300001	112400000	502	627635	2.20E-06
3	112400001	112500000	510	106256	4.01E-06
3	112500001	112600000	515	33413	2.31E-06
3	112600001	112700000	616	53522	3.94E-06
3	112700001	112800000	639	730701	2.89E-06
3	112800001	112900000	628	13137	1.87E-06
3	112900001	113000000	636	73826	2.19E-06
3	113000001	113100000	634	189251	1.64E-06
3	113100001	113200000	672	260362	3.38E-06
3	113200001	113300000	566	150411	2.83E-06
3	113300001	113400000	468	548655	2.10E-06
3	113400001	113500000	419	2190420	1.91E-06
3	113500001	113600000	364	757318	3.39E-06
3	113600001	113700000	363	524649	2.28E-06
3	113700001	113800000	487	305707	2.30E-06
3	113800001	113900000	504	287025	4.24E-06
3	113900001	114000000	589	7576	5.33E-06
3	114000001	114100000	614	431549	2.26E-06
3	114100001	114200000	608	34857	2.72E-06
3	114200001	114300000	644	57514	2.59E-06
3	114300001	114400000	570	104765	3.04E-06
3	114400001	114500000	589	35388	2.98E-06
3	114500001	114600000	526	44665	2.73E-06
3	114600001	114700000	561	19884	1.51E-06
3	114700001	114800000	565	47283	3.40E-06
3	114800001	114900000	495	41206	3.14E-06
3	114900001	115000000	473	6896	3.80E-06
3	115000001	115100000	531	3393	4.74E-06
3	115100001	115200000	609	5999	4.04E-06
3	115200001	115300000	642	3817	6.27E-06
3	115300001	115400000	685	43110	4.01E-06
3	115400001	115500000	622	47848	5.07E-06
3	115500001	115600000	591	178818	3.16E-06
3	115600001	115700000	613	50881	4.02E-06
3	115700001	115800000	715	42994	5.07E-06
3	115800001	115900000	841	63506	6.96E-06
3	115900001	116000000	905	35533	5.53E-06
3	116000001	116100000	911	30093	5.38E-06
3	116100001	116200000	967	32513	7.69E-06
3	116200001	116300000	986	1814	7.49E-06
3	116300001	116400000	970	1080397	6.18E-06
3	116400001	116500000	1009	5891	6.27E-06
3	116500001	116600000	1035	2761	6.53E-06
3	116600001	116700000	1075	5460	8.22E-06
3	116700001	116800000	1081	17870	7.26E-06
3	116800001	116900000	1099	12722	7.06E-06
3	116900001	117000000	1105	6095	8.95E-06
3	117000001	117100000	1146	7263	7.40E-06
3	117100001	117200000	1117	6142	7.97E-06
3	117200001	117300000	1156	16155	6.34E-06
3	117300001	117400000	1107	31457	7.05E-06
3	117400001	117500000	1070	9982	7.06E-06
3	117500001	117600000	1059	4356	7.86E-06
3	117600001	117700000	1056	13463	8.85E-06
3	117700001	117800000	1051	6041	9.84E-06
3	117800001	117900000	1062	251	7.67E-06
3	117900001	118000000	1031	6690	8.26E-06
3	118000001	118100000	986	4380	9.69E-06
3	118100001	118200000	931	24942	8.50E-06
3	118200001	118300000	857	15172	5.51E-06
3	118300001	118400000	769	21404	6.74E-06
3	118400001	118500000	800	27193	7.58E-06
3	118500001	118600000	865	16616	6.82E-06
3	118600001	118700000	804	61695	4.54E-06
3	118700001	118800000	714	17763	6.51E-06
3	118800001	118900000	589	15345	3.91E-06
3	118900001	119000000	588	435906	3.33E-06
3	119000001	119100000	510	84593	2.33E-06
3	119100001	119200000	585	742129	2.12E-06
3	119200001	119300000	599	879776	2.61E-06
3	119300001	119400000	595	221621	3.42E-06
3	119400001	119500000	568	27444	3.56E-06
3	119500001	119600000	474	678104	2.11E-06
3	119600001	119700000	421	189806	2.36E-06
3	119700001	119800000	418	146883	2.05E-06
3	119800001	119900000	221	278056	2.01E-06
3	119900001	120000000	146	35118	3.24E-06
3	120000001	120100000	263	1054472	2.78E-06
3	120100001	120200000	358	1421374	2.54E-06
3	120200001	120300000	375	16572	2.45E-06
3	120300001	120400000	449	639972	2.46E-06
3	120400001	120500000	391	358878	1.84E-06
3	120500001	120600000	475	140771	4.10E-06
3	120600001	120700000	578	4836	5.83E-06
3	120700001	120800000	785	5573	6.34E-06
3	120800001	120900000	736	16796	5.67E-06
3	120900001	121000000	619	13087	3.86E-06
3	121000001	121100000	556	17662	6.34E-06
3	121100001	121200000	609	272781	4.15E-06
3	121200001	121300000	680	373383	2.21E-06
3	121300001	121400000	613	735075	2.98E-06
3	121400001	121500000	591	1576837	2.08E-06
3	121500001	121600000	520	499681	2.09E-06
3	121600001	121700000	550	108544	2.93E-06
3	121700001	121800000	677	90008	2.99E-06
3	121800001	121900000	715	42618	3.53E-06
3	121900001	122000000	681	16720	2.43E-06
3	122000001	122100000	602	282650	1.91E-06
3	122100001	122200000	478	1575704	1.87E-06
3	122200001	122300000	404	1127771	2.58E-06
3	122300001	122400000	311	111882	3.11E-06
3	122400001	122500000	423	1152536	4.12E-06
3	122500001	122600000	412	237155	1.91E-06
3	122600001	122700000	389	120905	2.60E-06
3	122700001	122800000	328	43057	2.74E-06
3	122800001	122900000	360	421040	2.28E-06
3	122900001	123000000	400	355309	2.50E-06
3	123000001	123100000	421	49321	2.97E-06
3	123100001	123200000	458	10854	2.39E-06
3	123200001	123300000	413	921166	1.64E-06
3	123300001	123400000	274	591450	1.87E-06
3	123400001	123500000	253	328994	1.75E-06
3	123500001	123600000	324	58833	2.54E-06
3	123600001	123700000	449	1117480	2.84E-06
3	123700001	123800000	450	9041	3.76E-06
3	123800001	123900000	568	14885	3.04E-06
3	123900001	124000000	549	6318	2.92E-06
3	124000001	124100000	451	8060	4.03E-06
3	124100001	124200000	370	20611	3.49E-06
3	124200001	124300000	275	18244	3.38E-06
3	124300001	124400000	270	104344	3.71E-06
3	124400001	124500000	238	960231	3.21E-06
3	124500001	124600000	254	501294	1.92E-06
3	124600001	124700000	212	948496	3.60E-06
3	124700001	124800000	177	335996	1.58E-06
3	124800001	124900000	185	249127	2.13E-06
3	124900001	125000000	150	637711	2.05E-06
3	125000001	125100000	174	195556	1.84E-06
3	125100001	125200000	214	305554	3.49E-06
3	125200001	125300000	132	448915	2.81E-06
3	125300001	125400000	188	95027	2.40E-06
3	125400001	125500000	344	16204	8.35E-06
3	125500001	125600000	461	76999	9.23E-06
3	125600001	125700000	546	171517	5.20E-06
3	125700001	125800000	583	354903	1.93E-06
3	125800001	125900000	610	139455	2.31E-06
3	125900001	126000000	604	15292	2.35E-06
3	126000001	126100000	554	41488	2.78E-06
3	126100001	126200000	600	867596	2.91E-06
3	126200001	126300000	493	41238	3.30E-06
3	126300001	126400000	508	257129	2.24E-06
3	126400001	126500000	498	113582	2.13E-06
3	126500001	126600000	604	79719	2.52E-06
3	126600001	126700000	596	181867	2.08E-06
3	126700001	126800000	494	1500663	2.78E-06
3	126800001	126900000	444	780	3.66E-06
3	126900001	127000000	601	15155	2.77E-06
3	127000001	127100000	596	1976	4.59E-06
3	127100001	127200000	570	3015	2.63E-06
3	127200001	127300000	480	313974	3.79E-06
3	127300001	127400000	336	2114444	2.67E-06
3	127400001	127500000	269	555024	1.84E-06
3	127500001	127600000	313	96196	2.08E-06
3	127600001	127700000	353	32107	1.96E-06
3	127700001	127800000	390	3166452	3.07E-06
3	127800001	127900000	419	919608	2.44E-06
3	127900001	128000000	387	112257	2.37E-06
3	128000001	128100000	410	178404	1.73E-06
3	128100001	128200000	317	261139	1.86E-06
3	128200001	128300000	274	529213	2.50E-06
3	128300001	128400000	282	2348333	3.46E-06
3	128400001	128500000	303	430146	2.38E-06
3	128500001	128600000	277	1992261	2.09E-06
3	128600001	128700000	382	655501	4.00E-06
3	128700001	128800000	379	61677	2.56E-06
3	128800001	128900000	352	2911826	1.79E-06
3	128900001	129000000	189	2253554	2.66E-06
3	129000001	129100000	136	1489910	2.19E-06
3	129100001	129200000	355	980016	2.14E-06
3	129200001	129300000	163	767585	1.94E-06
3	129300001	129400000	210	336718	2.66E-06
3	129400001	129500000	178	99101	2.11E-06
3	129500001	129600000	270	222987	1.64E-06
3	129600001	129700000	357	128099	3.46E-06
3	129700001	129800000	389	29707	7.96E-06
3	129800001	129900000	490	200249	1.23E-05
3	129900001	130000000	551	10197	7.74E-06
3	130000001	130100000	560	3609	3.83E-06
3	130100001	130200000	533	18507	4.98E-06
3	130200001	130300000	480	3194	3.36E-06
3	130300001	130400000	527	62732	3.11E-06
3	130400001	130500000	430	443335	1.88E-06
3	130500001	130600000	415	32886	3.15E-06
3	130600001	130700000	355	891879	2.00E-06
3	130700001	130800000	475	769881	2.63E-06
3	130800001	130900000	586	43861	2.07E-06
3	130900001	131000000	702	16951	3.04E-06
3	131000001	131100000	797	142527	3.18E-06
3	131100001	131200000	823	1120916	2.46E-06
3	131200001	131300000	843	528416	4.29E-06
3	131300001	131400000	808	4043	4.11E-06
3	131400001	131500000	900	4088	3.48E-06
3	131500001	131600000	949	2782	5.37E-06
3	131600001	131700000	974	4834	4.94E-06
3	131700001	131800000	935	7786	3.99E-06
3	131800001	131900000	903	88130	4.71E-06
3	131900001	132000000	852	20770	4.40E-06
3	132000001	132100000	765	266778	3.42E-06
3	132100001	132200000	710	430717	2.17E-06
3	132200001	132300000	538	820250	1.64E-06
3	132300001	132400000	598	835256	2.07E-06
3	132400001	132500000	768	248291	2.49E-06
3	132500001	132600000	787	1499	4.00E-06
3	132600001	132700000	783	822	4.67E-06
3	132700001	132800000	832	5440	4.33E-06
3	132800001	132900000	773	7936	3.61E-06
3	132900001	133000000	713	8005	2.79E-06
3	133000001	133100000	619	32830	3.89E-06
3	133100001	133200000	497	28218	3.82E-06
3	133200001	133300000	410	191327	3.63E-06
3	133300001	133400000	327	3003980	1.92E-06
3	133400001	133500000	396	259317	3.49E-06
3	133500001	133600000	523	841370	2.24E-06
3	133600001	133700000	520	62021	2.41E-06
3	133700001	133800000	487	8455	3.28E-06
3	133800001	133900000	383	449538	2.55E-06
3	133900001	134000000	306	381723	1.90E-06
3	134000001	134100000	189	1089540	2.38E-06
3	134100001	134200000	179	322700	2.99E-06
3	134200001	134300000	188	453999	2.00E-06
3	134300001	134400000	321	10327	2.18E-06
3	134400001	134500000	459	3905	3.28E-06
3	134500001	134600000	574	32482	4.22E-06
3	134600001	134700000	645	29201	4.74E-06
3	134700001	134800000	713	24935	5.33E-06
3	134800001	134900000	856	25590	3.89E-06
